date,weekly_gas
2/19/16,9576
2/26/16,9121
3/4/16,9411
3/11/16,9458
3/18/16,9503
3/25/16,9244
4/1/16,9224
4/8/16,9633
4/15/16,9444
4/22/16,9315
4/29/16,9502
5/6/16,9658
5/13/16,9755
5/20/16,9516
5/27/16,9716
6/3/16,9568
6/10/16,9762
6/17/16,9815
6/24/16,9709
7/1/16,9755
7/8/16,9671
7/15/16,9785
7/22/16,9797
7/29/16,9752
8/5/16,9769
8/12/16,9762
8/19/16,9659
8/26/16,9511
9/2/16,9595
9/9/16,9406
9/16/16,9650
9/23/16,8880
9/30/16,9390
10/7/16,9264
10/14/16,8798
10/21/16,9118
10/28/16,9183
11/4/16,9213
11/11/16,9359
11/18/16,9024
11/25/16,9080
12/2/16,8757
12/9/16,8874
12/16/16,9269
12/23/16,9278
12/30/16,8465
1/6/17,8470
1/13/17,8069
1/20/17,8039
1/27/17,8310
2/3/17,8941
2/10/17,8433
2/17/17,8663
2/24/17,8686
3/3/17,9268
3/10/17,9254
3/17/17,9200
3/24/17,9524
3/31/17,9245
4/7/17,9275
4/14/17,9223
4/21/17,9206
4/28/17,9156
5/5/17,9408
5/12/17,9452
5/19/17,9704
5/26/17,9822
6/2/17,9317
6/9/17,9269
6/16/17,9816
6/23/17,9538
6/30/17,9705
7/7/17,9786
7/14/17,9592
7/21/17,9821
7/28/17,9842
8/4/17,9797
8/11/17,9522
8/18/17,9629
8/25/17,9846
9/1/17,9163
9/8/17,9619
9/15/17,9441
9/22/17,9522
9/29/17,9241
10/6/17,9480
10/13/17,9136
10/20/17,9314
10/27/17,9461
11/3/17,9496
11/10/17,9172
11/17/17,9595
11/24/17,8724
12/1/17,8895
12/8/17,9091
12/15/17,9426
12/22/17,9485
12/29/17,8650
1/5/18,8814
1/12/18,8668
1/19/18,8697
1/26/18,9044
2/2/18,9110
2/9/18,9059
2/16/18,9002
2/23/18,8860
3/2/18,9276
3/9/18,9642
3/16/18,9324
3/23/18,9208
3/30/18,9203
4/6/18,9273
4/13/18,9857
4/20/18,9083
4/27/18,9090
5/4/18,9775
5/11/18,9531
5/18/18,9689
5/25/18,9689
6/1/18,8976
6/8/18,9879
6/15/18,9326
6/22/18,9731
6/29/18,9869
7/6/18,9275
7/13/18,9708
7/20/18,9846
7/27/18,9878
8/3/18,9346
8/10/18,9512
8/17/18,9453
8/24/18,9899
8/31/18,9734
9/7/18,9649
9/14/18,9534
9/21/18,8987
9/28/18,9102
10/5/18,9078
10/12/18,9182
10/19/18,9324
